Period,Demand,,,
2009 Q4,14.17,,,In millions
2010 Q1,11.6,,,
2010 Q2,9.76,,,
2010 Q3,10.55,,,
2010 Q4,11.45,,,
2011 Q1,11.25,,,
2011 Q2,9.53,,,
2011 Q3,9.92,,,
2011 Q4,10.21,,,
2012 Q1,9.78,,,
2012 Q2,8.78,,,
2012 Q3,11.2,,,
2012 Q4,9.53,,,
2013 Q1,9.52,,,
2013 Q2,8.68,,,
2013 Q3,9.38,,,
2013 Q4,9.74,,,
2014 Q1,9.1,,,
2014 Q2,7.13,,,
2014 Q3,8.9,,,
2014 Q4,9.42,,,
2015 Q1,8.75,,,
2015 Q2,7.68,,,
2015 Q3,9.71,,,
2015 Q4,8.97,,,
2016 Q1,9.2,,,
2016 Q2,6.61,,,
2016 Q3,9.25,,,
